platform,Probability,SE,CI_low,CI_high
Facebook,0.14276526655079802,0.007154803239970302,0.12530782460731038,0.16220380467600456
Twitter,0.19342249827242194,0.009115662474766566,0.17101815539763673,0.21799012003542076
