lgbt,Probability,SE,CI_low,CI_high
Heterosexual,0.1619387552675624,0.0039194005236153516,0.15209513601764926,0.17229000343625953
Homosexual/bisexual,0.17128320701320893,0.015407990738336864,0.135150875272664,0.21467761327396614
