reach,Probability,SE,CI_low,CI_high
0,0.18757477724330468,0.009334077688306375,0.16470643079836308,0.21280930602785136
0.05974763133251003,0.1882334938107487,0.00930342756792401,0.16543108668138004,0.21337532541472165
0.11949526266502006,0.18882230102977968,0.009275918659473616,0.1660792021426623,0.21388108092422087
0.17924289399753007,0.18934257523088854,0.009251194955131268,0.16665293612024903,0.2143268889028584
0.23899052533004012,0.1897957686670165,0.009228902651626724,0.16715452466286343,0.21471315520647363
0.29873815666255016,0.19018340439414377,0.009208701008764605,0.1675862495592334,0.2150403996595339
0.35848578799506015,0.19050707126015232,0.00919026358271151,0.16795042956868456,0.2153092535004029
0.4182334193275702,0.1907684190081524,0.009173280487948333,0.1682494094661855,0.21552045996425495
0.47798105066008023,0.19096915349953816,0.009157460191746037,0.16848555038884855,0.2156748737735631
0.5377286819925903,0.1911110320612319,0.009142530872033766,0.1686612214136947,0.21577345962353428
0.5974763133251003,0.19119585896088154,0.009128241374411794,0.16877879228258552,0.21581728976124895
0.6572239446576104,0.1912254810131807,0.009114361806997422,0.16884062718149298,0.21580754076377479
0.7169715759901203,0.19120178331997503,0.009100683813068609,0.16884907947696834,0.21574548962290155
0.7767192073226303,0.19112668514639836,0.009087020561392831,0.16880648731199077,0.2156325092431594
0.8364668386551404,0.19100213593492632,0.009073206492994387,0.16871516996553626,0.2154700634561917
0.8962144699876504,0.19083011145895026,0.009059096861198239,0.16857742488450186,0.2152597016490542
0.9559621013201605,0.19061261011723482,0.009044567099334586,0.16839552530239688,0.2150030530972198
1.0157097326526705,0.19035164937043722,0.009029512047702805,0.1681717183659366,0.21470182108550545
1.0754573639851805,0.1900492623207105,0.00901384506844345,0.16790822369789926,0.21435777689221897
1.1352049953176906,0.18970749443529586,0.008997497073985807,0.16760723233197639,0.21397275370389374
1.1949526266502006,0.189328400414909,0.00898041549182431,0.16727090596260333,0.2135486405202648
1.2547002579827107,0.18891404120765126,0.008962563185601659,0.16690137645969852,0.2130873761018379
1.3144478893152207,0.18846648116910794,0.008943917349885895,0.1665007456047444,0.21259094300559778
1.3741955206477308,0.1879877853692427,0.008924468393651306,0.16607108501062845,0.2120613617481879
1.4339431519802406,0.18748001704664505,0.00890421882532077,0.16561443619308577,0.21150068513026718
1.4936907833127506,0.1869452352106372,0.00888318215030157,0.16513281076644606,0.21091099275072958
1.5534384146452607,0.18638549239169655,0.008861381790240598,0.16462819074068505,0.21029438573502027
1.6131860459777707,0.1858028325405964,0.00883885003172579,0.16410252890055996,0.2096529816978729
1.6729336773102808,0.18519928907660627,0.008815627010851814,0.16355774925089125,0.20898890995736855
1.7326813086427908,0.1845768830850304,0.008791759738932392,0.16299574751489307,0.20830430701424094
1.7924289399753008,0.18393762166428948,0.008767301173659703,0.16241839167489464,0.20760131230776382
1.8521765713078109,0.18328349642267366,0.008742309339165063,0.16182752254688068,0.20688206425731412
1.911924202640321,0.18261648212480971,0.008716846497707062,0.1612249543820552,0.206148696596756
1.971671833972831,0.18193853548779382,0.00869097837508712,0.16061247549013857,0.20540333500709987
2.031419465305341,0.18125159412684794,0.00866477344135374,0.15999184888038875,0.20464809405141562
