incivil,Probability,SE,CI_low,CI_high
Civil,0.14619652585036716,0.007286660350337553,0.1284072309037059,0.1659809921164133
Incivil,0.1891283619678013,0.008989865266964532,0.1670502789025601,0.2133768915962876
