age,Probability,SE,CI_low,CI_high
24,0.16170645211476106,0.009267318685200148,0.13923229532653777,0.18702008429939274
25.016129032258064,0.16185807828027818,0.009176210629833136,0.1395899611822271,0.1869068496442177
26.032258064516128,0.16200981914324747,0.009087771460323479,0.13994196777523615,0.18680178127523464
27.048387096774192,0.16216167473890286,0.009002097103754795,0.1402880703956333,0.18670512663306824
28.064516129032256,0.16231364510238813,0.008919284698326379,0.14062802117624945,0.18661713629013493
29.08064516129032,0.16246573026875658,0.008839432342808321,0.14096156973705337,0.1865380633060286
30.096774193548388,0.16261793027297086,0.008762638815984564,0.1412884639068224,0.18646816250560955
31.112903225806452,0.16277024514990274,0.008689003265736787,0.1416084505230063,0.18640768967889984
32.12903225806451,0.16292267493433293,0.008618624867874987,0.14192127630951695,0.18635690070305233
33.14516129032258,0.16307521966095093,0.00855160245534186,0.14222668883083203,0.1863160505880047
34.16129032258064,0.1632278793643547,0.008488034119003413,0.1425244375192966,0.18628539244893522
35.17741935483871,0.16338065407905053,0.008428016781880607,0.14281427477084987,0.18626517641029242
36.193548387096776,0.16353354383945293,0.008371645749364926,0.14309595710263476,0.18625564844794149
37.20967741935484,0.16368654867988414,0.00831901423867971,0.14336924636409426,0.1862570491778232
38.225806451612904,0.16383966863457433,0.008270212891580494,0.1436339109912771,0.186269612601403
39.24193548387097,0.16399290373766096,0.008225329275008316,0.1438897272922173,0.18629356482004555
40.25806451612903,0.16414625402318891,0.008184447375095188,0.14413648074948898,0.18632912273221314
41.274193548387096,0.16429971952511022,0.008147647090542222,0.14437396732443644,0.18637649272898899
42.29032258064516,0.1644533002772836,0.008115003731919748,0.14460199474621763,0.18643586940478582
43.306451612903224,0.16460699631347464,0.00808658753384592,0.14482038376775025,0.18650743430115174
44.32258064516129,0.16476080766735535,0.008062463187259176,0.14502896936998305,0.1865913547022501
45.33870967741936,0.16491473437250392,0.008042689399086832,0.14522760189568953,0.1866877825008168
46.35483870967742,0.16506877646240478,0.008027318486509241,0.14541614809424658,0.18679685315313177
47.37096774193549,0.16522293397044807,0.00801639601271465,0.14559449205964275,0.1869186847407604
48.38709677419355,0.1653772069299297,0.008009960470531534,0.14576253604527065,0.18705337715551087
49.403225806451616,0.16553159537405082,0.00800804301961834,0.14592020114087587,0.18720101142223364
50.41935483870968,0.1656860993359181,0.008010667282000955,0.14606742779932638,0.18736164917180068
51.435483870967744,0.1658407188485431,0.008017849199699712,0.14620417620356616,0.18753533227389987
52.45161290322581,0.1659954539448421,0.008029596957013576,0.14633042646713856,0.18772208263625922
53.46774193548387,0.16615030465763628,0.008045910968768211,0.146446178664913,0.18792190217366736
54.483870967741936,0.16630527101965098,0.008066783934530732,0.14655145269400455,0.18813477294680064
55.5,0.1664603530635158,0.00809220095749374,0.14664628796822557,0.18836065746751823
56.516129032258064,0.16661555082176452,0.008122139725480022,0.14673074295262814,0.1885994991640655
57.53225806451613,0.1667708643268345,0.008156570750360437,0.1468048945476819,0.18885122299664228
58.54838709677419,0.16692629361106676,0.008195457661149123,0.146868837335278,0.18911573621114397
59.564516129032256,0.1670818387067058,0.0082387575451725,0.1469226827009862,0.18939292921665
60.58064516129032,0.16723749964589907,0.008286421331025093,0.14696655784874987,0.18968267657047358
61.596774193548384,0.1673932764606973,0.008338394206538435,0.14700060472545795,0.1899848380533343
62.61290322580645,0.1675491691830537,0.008394616064704267,0.14702497887356689,0.1902992598164807
63.62903225806451,0.1677051778448242,0.008455021970404684,0.1470398482301736,0.19062577558236124
64.64516129032258,0.16786130247776698,0.008519542640897866,0.1470453918906928,0.1909642078806915
65.66129032258064,0.16801754311354247,0.008588104933269513,0.1470417988546183,0.19131436930243576
66.67741935483872,0.16817389978371292,0.008660632332463733,0.1470292667698108,0.1916760637552637
67.69354838709677,0.16833037251974237,0.008737045434025804,0.14700800069041592,0.19204908770537527
68.70967741935485,0.1684869613529964,0.008817262416295059,0.1469782118619582,0.19243323139215007
69.7258064516129,0.16864366631474179,0.008901199497450869,0.14694011654544528,0.1928282800037865
70.74193548387098,0.16880048743614653,0.008988771373511666,0.14689393489052044,0.1932340148038922
71.75806451612902,0.16895742474827954,0.009079891634091444,0.14683988986588953,0.19365021420080034
72.7741935483871,0.1691144782821103,0.009174473153409766,0.1467782062534657,0.19407665475316752
73.79032258064515,0.16927164806850883,0.009272428454711455,0.14670910971097736,0.19451311210710895
74.80645161290323,0.1694289341382455,0.009373670046867543,0.14663282590619917,0.19495936186171042
75.82258064516128,0.1695863365219906,0.009478110732489671,0.14654957972452304,0.1954151803612001
76.83870967741936,0.1697438552503144,0.009585663887388605,0.14645959455030239,0.19588034541334712
77.85483870967741,0.1699014903536867,0.009696243711641205,0.1463630916212871,0.19635463693476984
78.87096774193549,0.17005924186247692,0.009809765452897605,0.14626028945451966,0.1968378375247826
79.88709677419354,0.17021710980695356,0.009926145602863073,0.14615140334128526,0.19732973297018863
80.90322580645162,0.17037509421728414,0.010045302068130469,0.14603664490808566,0.1978301126840497
81.91935483870968,0.17053319512353515,0.01016715431672327,0.1459162217401335,0.19833877008193487
82.93548387096774,0.17069141255567152,0.010291623501841563,0.145790337063524,0.19885550289949255
83.95161290322581,0.1708497465435567,0.010418632564389838,0.14565918948201645,0.1993801134554124
84.96774193548387,0.1710081971169522,0.010548106315911788,0.1455229727642408,0.1999124088639629
85.98387096774194,0.17116676430551767,0.010679971503569544,0.1453818756771127,0.20045220120132007
87,0.17132544813881045,0.01081415685878888,0.1452360818612802,0.2009993076298654
