party,Probability,SE,CI_low,CI_high
Republican,0.1863992711120489,0.009684827606809892,0.16272730049443473,0.21264025303520562
Democrat,0.1484443986724877,0.007319843891807692,0.13056064080808827,0.16830361589992346
